hostname,count,time,rssi
ohashi02,2448,2022-07-30 18:59:09,-57
ohashi02,2451,2022-07-30 18:59:12,-73
ohashi02,2454,2022-07-30 18:59:15,-71
ohashi02,2457,2022-07-30 18:59:18,-58
ohashi02,2460,2022-07-30 18:59:21,-57
ohashi02,2484,2022-07-30 18:59:45,-55
ohashi02,2487,2022-07-30 18:59:48,-54
ohashi02,2490,2022-07-30 18:59:51,-54
ohashi02,2493,2022-07-30 18:59:54,-58
ohashi02,2499,2022-07-30 19:00:00,-63
ohashi02,2502,2022-07-30 19:00:03,-63
ohashi02,2505,2022-07-30 19:00:06,-53
ohashi02,2508,2022-07-30 19:00:09,-53
ohashi02,2511,2022-07-30 19:00:12,-53
ohashi02,2514,2022-07-30 19:00:15,-59
ohashi02,2520,2022-07-30 19:00:21,-61
ohashi02,2523,2022-07-30 19:00:24,-61
ohashi02,2541,2022-07-30 19:00:42,-61
ohashi02,2559,2022-07-30 19:01:00,-53
ohashi02,2577,2022-07-30 19:01:18,-63
ohashi02,2580,2022-07-30 19:01:21,-63
ohashi02,2583,2022-07-30 19:01:24,-62
ohashi02,2586,2022-07-30 19:01:27,-63
ohashi02,2589,2022-07-30 19:01:30,-66
ohashi02,2592,2022-07-30 19:01:33,-53
ohashi02,2616,2022-07-30 19:01:57,-63
ohashi02,2619,2022-07-30 19:02:00,-64
ohashi02,2622,2022-07-30 19:02:03,-54
ohashi02,2634,2022-07-30 19:02:15,-55
ohashi02,2637,2022-07-30 19:02:18,-55
ohashi02,2640,2022-07-30 19:02:21,-54
ohashi02,2643,2022-07-30 19:02:24,-77
ohashi02,2652,2022-07-30 19:02:33,-67
ohashi02,2655,2022-07-30 19:02:36,-70
ohashi02,2658,2022-07-30 19:02:39,-54
ohashi02,2661,2022-07-30 19:02:42,-60
ohashi02,2673,2022-07-30 19:02:54,-61
ohashi02,2676,2022-07-30 19:02:57,-61
ohashi02,2679,2022-07-30 19:03:00,-61
ohashi02,2685,2022-07-30 19:03:06,-61
ohashi02,2688,2022-07-30 19:03:09,-54
ohashi02,2691,2022-07-30 19:03:12,-60
ohashi02,2697,2022-07-30 19:03:18,-64
ohashi02,2736,2022-07-30 19:03:57,-59
ohashi02,2739,2022-07-30 19:04:00,-61
ohashi02,2745,2022-07-30 19:04:06,-54
ohashi02,2757,2022-07-30 19:04:18,-54
ohashi02,2763,2022-07-30 19:04:24,-74
ohashi02,2766,2022-07-30 19:04:27,-58
ohashi02,2769,2022-07-30 19:04:30,-60
ohashi02,2772,2022-07-30 19:04:33,-70
ohashi02,2778,2022-07-30 19:04:39,-69
ohashi02,2787,2022-07-30 19:04:48,-55
ohashi02,2790,2022-07-30 19:04:51,-55
ohashi02,2793,2022-07-30 19:04:54,-59
ohashi02,2802,2022-07-30 19:05:03,-59
