2022-05-27 21:39:33,2022-05-28 03:03:51,金曜日,21:30,"['phone', 'wallet', 'bag']"
2022-05-28 19:35:45,2022-05-29 00:28:30,土曜日,19:30,"['phone', 'wallet', 'bag']"
2022-05-30 11:46:39,2022-05-30 16:51:18,月曜日,11:40,"['phone', 'wallet']"
2022-05-31 08:37:33,2022-05-31 16:32:51,火曜日,08:30,"['wallet', 'phone']"
2022-05-31 19:05:33,2022-05-31 20:45:27,火曜日,19:00,"['wallet', 'phone']"
2022-06-01 11:58:18,2022-06-01 17:09:30,水曜日,11:50,"['wallet', 'phone']"
2022-06-01 19:02:12,2022-06-01 20:42:27,水曜日,19:00,"['wallet', 'phone']"
2022-06-02 12:01:39,2022-06-02 16:32:12,木曜日,12:00,"['wallet', 'phone']"
2022-06-02 21:45:00,2022-06-03 01:57:21,木曜日,21:40,"['wallet', 'phone', 'bag']"
2022-06-03 12:01:18,2022-06-03 16:41:24,金曜日,12:00,"['phone', 'wallet']"
2022-06-04 14:26:51,2022-06-04 17:36:42,土曜日,14:20,"['phone', 'wallet']"
2022-06-04 21:41:33,2022-06-05 02:14:09,土曜日,19:40,"['phone', 'wallet', 'bag']"
2022-06-05 13:51:21,2022-06-05 16:11:57,日曜日,13:50,"['phone', 'wallet']"
2022-06-05 21:41:18,2022-06-06 03:05:45,日曜日,21:40,"['phone', 'wallet', 'bag']"
2022-06-06 12:23:12,2022-06-06 16:51:18,月曜日,12:20,"['phone', 'wallet']"
2022-06-06 18:51:39,2022-06-06 21:04:27,月曜日,18:50,"['phone', 'wallet']"
2022-06-07 08:40:33,2022-06-07 16:32:51,火曜日,08:40,"['wallet', 'phone']"
2022-06-07 21:29:15,2022-06-08 02:23:12,火曜日,21:20,"['phone', 'wallet', 'bag']"
2022-06-08 16:06:30,2022-06-08 17:09:30,水曜日,16:00,"['wallet', 'phone']"
2022-06-08 21:38:51,2022-06-09 03:02:00,水曜日,19:30,"['phone', 'wallet', 'bag']"
2022-06-09 12:15:39,2022-06-09 16:32:12,木曜日,12:10,"['wallet', 'phone']"
2022-06-09 16:55:42,2022-06-09 19:44:06,木曜日,16:50,"['wallet', 'phone']"
2022-06-10 12:01:18,2022-06-10 16:41:24,金曜日,12:00,"['phone', 'wallet']"
2022-06-10 18:49:33,2022-06-12 21:22:45,金曜日,18:40,"['phone', 'wallet']"
2022-06-13 12:24:21,2022-06-13 16:51:18,月曜日,12:20,"['phone', 'wallet']"
2022-06-14 08:32:57,2022-06-14 16:32:51,火曜日,08:30,"['wallet', 'phone']"
2022-06-14 18:25:42,2022-06-14 20:14:18,火曜日,18:20,"['phone', 'wallet']"
2022-06-15 12:06:27,2022-06-15 16:40:30,水曜日,12:00,"['wallet', 'phone']"
2022-06-15 21:38:51,2022-06-16 02:14:00,水曜日,21:30,"['phone', 'wallet', 'bag']"
2022-06-16 12:25:42,2022-06-16 19:44:06,木曜日,12:20,"['wallet', 'phone']"
2022-06-16 20:03:33,2022-06-16 22:17:09,木曜日,20:03,"['wallet', 'phone']"
2022-06-17 12:01:18,2022-06-17 16:41:24,金曜日,12:00,"['phone', 'wallet']"
2022-06-17 21:49:33,2022-06-18 03:42:52,金曜日,21:40,"['phone', 'wallet', 'bag']"
2022-06-18 21:41:33,2022-06-18 02:49:21,土曜日,21:40,"['phone', 'wallet', 'bag']"
2022-06-19 13:51:21,2022-06-19 16:11:57,日曜日,13:50,"['phone', 'wallet']"
2022-06-19 21:41:18,2022-06-19 03:05:45,日曜日,21:40,"['phone', 'wallet', 'bag']"
